GAME_ID,GAME_DATE_EST,GAME_STATUS_TEXT,HOME_TEAM_ID,VISITOR_TEAM_ID,PTS_home,FG_PCT_home,FT_PCT_home,FG3_PCT_home,AST_home,REB_home,PTS_away,FG_PCT_away,FT_PCT_away,FG3_PCT_away,AST_away,REB_away,
22100213,2021-11-17,Final,1610612766,1610612764,97,0.438,0.5,0.313,30,59,87,0.367,0.813,0.19,23,48,
22100214,2021-11-17,Final,1610612765,1610612754,97,0.425,0.75,0.286,16,42,89,0.418,0.737,0.243,14,43,
22100215,2021-11-17,Final,1610612737,1610612738,110,0.506,0.833,0.351,28,40,99,0.44,0.824,0.268,24,42,
22100216,2021-11-17,Final,1610612751,1610612739,109,0.458,0.84,0.375,29,47,99,0.393,0.857,0.25,20,50,
22100217,2021-11-17,Final,1610612748,1610612740,113,0.483,0.824,0.375,29,39,98,0.44,0.786,0.286,18,38,
22100218,2021-11-17,Final,1610612752,1610612753,98,0.42,0.667,0.327,25,45,104,0.406,0.833,0.289,20,51,
22100219,2021-11-17,Final,1610612749,1610612747,109,0.46,0.708,0.324,22,52,102,0.417,0.833,0.279,24,48,
22100220,2021-11-17,Final,1610612750,1610612758,107,0.5,0.833,0.278,20,35,97,0.366,0.76,0.263,19,47,
22100221,2021-11-17,Final,1610612760,1610612745,101,0.446,0.563,0.256,18,56,89,0.356,0.684,0.286,16,46,
22100222,2021-11-17,Final,1610612756,1610612742,105,0.441,0.714,0.333,27,49,98,0.413,1,0.5,28,50,
22100223,2021-11-17,Final,1610612757,1610612741,112,0.44,0.964,0.355,26,44,107,0.47,0.8,0.448,23,36,
22100210,2021-11-16,Final,1610612751,1610612744,99,0.386,0.778,0.278,21,38,117,0.519,0.786,0.325,25,53,
22100211,2021-11-16,Final,1610612762,1610612755,120,0.517,0.632,0.421,27,56,85,0.367,0.765,0.207,19,42,
22100212,2021-11-16,Final,1610612746,1610612759,106,0.435,0.909,0.316,16,52,92,0.432,0.714,0.227,26,41,
22100199,2021-11-15,Final,1610612739,1610612738,92,0.386,0.75,0.4,18,42,98,0.462,0.8,0.345,23,46,
22100200,2021-11-15,Final,1610612765,1610612758,107,0.406,0.941,0.277,23,47,129,0.531,0.818,0.485,32,47,
22100201,2021-11-15,Final,1610612764,1610612740,105,0.464,0.68,0.357,23,42,100,0.405,0.853,0.524,20,45,
22100202,2021-11-15,Final,1610612737,1610612753,129,0.553,0.656,0.467,32,46,111,0.453,0.643,0.372,30,41,
22100203,2021-11-15,Final,1610612752,1610612754,92,0.43,0.7,0.324,22,46,84,0.372,0.75,0.216,16,44,
22100204,2021-11-15,Final,1610612742,1610612743,111,0.5,0.7,0.389,30,44,101,0.476,0.706,0.281,20,46,
22100205,2021-11-15,Final,1610612763,1610612745,136,0.542,0.8,0.39,33,49,102,0.379,0.731,0.289,24,46,
22100206,2021-11-15,Final,1610612750,1610612756,96,0.365,0.778,0.295,18,54,99,0.376,0.778,0.226,21,52,
22100207,2021-11-15,Final,1610612760,1610612748,90,0.41,0.7,0.366,26,42,103,0.451,0.846,0.45,22,45,
22100208,2021-11-15,Final,1610612757,1610612761,118,0.561,0.714,0.444,25,39,113,0.461,0.889,0.455,20,39,
22100209,2021-11-15,Final,1610612747,1610612741,103,0.456,0.806,0.188,19,43,121,0.551,0.727,0.441,31,36,
22100192,2021-11-14,Final,1610612747,1610612759,114,0.518,0.765,0.484,28,46,106,0.444,0.667,0.444,28,43,
22100193,2021-11-14,Final,1610612737,1610612749,120,0.485,0.846,0.429,21,51,100,0.452,0.625,0.341,24,30,
22100194,2021-11-14,Final,1610612766,1610612744,106,0.477,0.667,0.389,23,39,102,0.422,0.68,0.231,31,49,
22100195,2021-11-14,Final,1610612745,1610612756,89,0.412,0.667,0.219,19,48,115,0.433,0.85,0.35,19,52,
22100196,2021-11-14,Final,1610612760,1610612751,96,0.4,0.909,0.311,20,44,120,0.5,0.952,0.419,31,44,
22100197,2021-11-14,Final,1610612743,1610612757,124,0.522,0.786,0.475,29,49,95,0.438,0.923,0.333,22,36,
22100198,2021-11-14,Final,1610612746,1610612741,90,0.358,1,0.324,16,44,100,0.442,0.929,0.379,19,45,
22100185,2021-11-13,Final,1610612762,1610612748,105,0.412,0.72,0.321,23,38,111,0.494,0.875,0.394,23,48,
22100186,2021-11-13,Final,1610612754,1610612755,118,0.573,0.667,0.5,33,37,113,0.427,0.862,0.522,16,46,
22100187,2021-11-13,Final,1610612753,1610612764,92,0.337,0.85,0.325,21,44,104,0.5,0.8,0.343,29,48,
22100188,2021-11-13,Final,1610612740,1610612763,112,0.481,0.88,0.483,29,37,101,0.432,0.81,0.333,21,39,
22100189,2021-11-13,Final,1610612761,1610612765,121,0.506,0.645,0.382,21,39,127,0.544,0.867,0.429,34,34,
22100190,2021-11-13,Final,1610612739,1610612738,91,0.383,0.864,0.263,17,39,89,0.423,0.944,0.261,20,47,
22100191,2021-11-13,Final,1610612746,1610612750,129,0.535,0.778,0.4,35,57,102,0.392,0.688,0.306,25,41,
22100174,2021-11-12,Final,1610612766,1610612752,104,0.433,0.667,0.278,25,49,96,0.387,0.611,0.371,17,51,
22100175,2021-11-12,Final,1610612738,1610612749,122,0.49,0.889,0.293,22,53,113,0.449,0.818,0.34,23,39,
22100176,2021-11-12,Final,1610612739,1610612765,98,0.476,0.667,0.341,27,40,78,0.367,0.846,0.3,18,43,
22100177,2021-11-12,Final,1610612745,1610612757,92,0.4,0.63,0.219,13,49,104,0.391,0.806,0.306,21,52,
22100178,2021-11-12,Final,1610612763,1610612756,94,0.378,0.565,0.212,19,59,119,0.489,1,0.486,28,46,
22100179,2021-11-12,Final,1610612740,1610612751,112,0.489,0.813,0.406,26,43,120,0.5,0.741,0.529,27,34,
22100180,2021-11-12,Final,1610612760,1610612758,105,0.424,0.733,0.333,13,52,103,0.4,0.765,0.341,20,49,
22100181,2021-11-12,Final,1610612759,1610612742,109,0.488,0.7,0.433,30,41,123,0.46,0.684,0.4,30,48,
22100182,2021-11-12,Final,1610612743,1610612737,105,0.444,0.75,0.286,26,49,96,0.409,0.714,0.179,20,50,
22100183,2021-11-12,Final,1610612744,1610612741,119,0.484,0.875,0.326,27,47,93,0.436,0.773,0.296,18,38,
22100184,2021-11-12,Final,1610612747,1610612750,83,0.354,0.8,0.22,17,44,107,0.457,0.75,0.324,24,54,
22100171,2021-11-11,Final,1610612755,1610612761,109,0.455,0.947,0.324,29,39,115,0.438,1,0.424,25,47,
22100172,2021-11-11,Final,1610612762,1610612754,100,0.47,0.565,0.281,22,37,111,0.448,0.737,0.355,19,53,
22100173,2021-11-11,Final,1610612746,1610612748,112,0.473,0.882,0.297,20,42,109,0.443,0.824,0.22,18,50,
22100158,2021-11-10,Final,1610612739,1610612764,94,0.461,0.714,0.29,21,40,97,0.417,1,0.357,25,49,
22100159,2021-11-10,Final,1610612753,1610612751,90,0.38,0.667,0.121,19,49,123,0.505,0.882,0.432,29,49,
22100160,2021-11-10,Final,1610612738,1610612761,104,0.447,0.667,0.345,21,44,88,0.429,0.842,0.24,20,41,
22100161,2021-11-10,Final,1610612752,1610612749,100,0.434,0.706,0.432,19,38,112,0.444,0.667,0.52,29,50,
22100162,2021-11-10,Final,1610612745,1610612765,104,0.427,0.647,0.353,17,42,112,0.433,0.667,0.333,23,49,
22100163,2021-11-10,Final,1610612741,1610612742,117,0.506,0.857,0.484,26,46,107,0.458,0.792,0.364,23,43,
